OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts	description 	cog
OG0005434	93	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005440	207	1	1	1	1	NA	0.69	NA	2	0	2	2	Protein of unknown function (DUF2768)	S
OG0005442	240	1	1	1	1	NA	0.69	NA	2	0	2	2	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site"	J
OG0005443	420	1	1	1	1	NA	0.69	NA	2	0	2	2	Sodium:neurotransmitter symporter family	S
OG0005444	60	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005501	159	1	1	1	1	NA	0.69	NA	2	0	2	2	Thiol disulfide interchange protein	O
OG0005502	216	1	1	1	1	NA	0.69	NA	2	0	2	2	Cytochrome c	C
OG0005504	237	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005505	483	1	1	1	1	NA	0.69	NA	2	0	2	2	Domain of unknown function (DUF4785)	S
OG0005510	672	1	1	1	1	NA	0.69	NA	2	0	2	2	transposase activity	L
OG0005511	135	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005515	87	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005516	381	1	1	1	1	NA	0.69	NA	2	0	2	2	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane	C
OG0005543	228	1	1	1	1	NA	0.69	NA	2	0	2	2	Plasmid protein of unknown function (Plasmid_RAQPRD)	S
OG0005544	234	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0005552	180	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005553	234	1	1	1	1	NA	0.69	NA	2	0	2	2	Predicted integral membrane protein (DUF2282)	S
OG0005556	228	1	1	1	1	NA	0.69	NA	2	0	2	2	Sulfite exporter TauE/SafE	S
OG0005561	297	1	1	1	1	NA	0.69	NA	2	0	2	2	Probably plays a role in a hydrogenase nickel cofactor insertion step	S
OG0005562	558	1	1	1	1	NA	0.69	NA	2	0	2	2	"CobW/HypB/UreG, nucleotide-binding domain"	KO
OG0005671	354	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005856	261	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005861	411	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005867	396	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005992	150	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0007503	150	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0007504	330	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0007512	561	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0007533	174	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0007745	348	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0004723	231	1	1	2	0.83	NA	1.05	NA	3	0	2.5	2.5	#N/A	#N/A
OG0005018	84	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005350	117	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005357	60	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005368	81	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005377	144	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005389	99	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005416	120	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005427	168	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005435	420	1	1	1	1	NA	1.1	NA	3	0	3	3	Belongs to the UPF0348 family	S
OG0005439	285	1	1	1	1	NA	1.1	NA	3	0	3	3	-	-
OG0005441	225	1	1	1	1	NA	1.1	NA	3	0	3	3	Glycerol-3-phosphate dehydrogenase	I
OG0005862	375	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0005863	417	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0007434	1383	0	1	1	1	1	1.1	1.1	3	3	3	3	#N/A	#N/A
OG0007497	135	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0007498	216	1	1	1	1	NA	1.1	NA	3	0	3	3	#N/A	#N/A
OG0004475	367.5	1	2	2	0.62	NA	1.33	NA	4	0	2.5	2.5	#N/A	#N/A
OG0005184	219	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0005362	216	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0005363	150	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0005414	324	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0005420	183	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0005421	213	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0005951	201	0	1	1	1	1	1.39	1.39	4	4	4	4	#N/A	#N/A
OG0007496	150	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0007744	411	1	1	1	1	NA	1.39	NA	4	0	4	4	Transposase	Q
OG0007746	129	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0007747	288	1	1	1	1	NA	1.39	NA	4	0	4	4	"DEAD-box RNA helicase possibly involved in RNA degradation. Unwinds dsRNA in both 5'- and 3'-directions, has RNA- dependent ATPase activity"	JKL
OG0007748	246	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0007749	186	1	1	1	1	NA	1.39	NA	4	0	4	4	#N/A	#N/A
OG0004893	117	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0005185	219	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0007021	252	0	1	1	1	1	1.61	1.61	5	5	5	5	#N/A	#N/A
OG0007175	159	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0007532	195	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0007743	102	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0007750	174	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0008141	165	1	1	1	1	NA	1.61	NA	5	0	5	5	#N/A	#N/A
OG0003974	159	1	1	3	0.45	NA	1.67	NA	6	0	2.67	2.67	#N/A	#N/A
OG0005015	522	1	1	1	1	NA	1.79	NA	6	0	6	6	#N/A	#N/A
OG0005016	168	1	1	1	1	NA	1.79	NA	6	0	6	6	#N/A	#N/A
OG0005017	354	1	1	1	1	NA	1.79	NA	6	0	6	6	MazG nucleotide pyrophosphohydrolase domain protein	S
OG0007019	177	0	1	1	1	1	1.79	1.79	6	6	6	6	#N/A	#N/A
OG0007020	186	0	1	1	1	1	1.79	1.79	6	6	6	6	#N/A	#N/A
OG0008103	270	1	1	1	1	NA	1.79	NA	6	0	6	6	#N/A	#N/A
OG0005014	339	1	1	1	1	NA	1.95	NA	7	0	7	7	Bacterial mobilisation protein (MobC)	S
OG0005215	135	0	1	1	1	1	1.95	1.95	7	7	7	7	#N/A	#N/A
OG0005599	735	0	1	1	1	1	1.95	1.95	7	7	7	7	#N/A	#N/A
OG0005616	603	0	1	1	1	1	1.95	1.95	7	7	7	7	#N/A	#N/A
OG0005939	264	1	1	1	1	NA	1.95	NA	7	0	7	7	#N/A	#N/A
OG0007465	6888	0	1	1	1	1	1.95	1.95	7	7	7	7	#N/A	#N/A
OG0007510	177	1	1	1	1	NA	1.95	NA	7	0	7	7	#N/A	#N/A
OG0007764	93	1	1	1	1	NA	1.95	NA	7	0	7	7	#N/A	#N/A
OG0005172	1215	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0005173	159	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0005425	498	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0005438	462	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0007176	6756	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0007438	1617	0	1	1	1	1	2.08	2.08	8	8	8	8	#N/A	#N/A
OG0007737	1380	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0007741	627	1	1	1	1	NA	2.08	NA	8	0	8	8	Caulimovirus viroplasmin	L
OG0007742	96	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0007921	105	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0008039	210	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0008109	165	1	1	1	1	NA	2.08	NA	8	0	8	8	#N/A	#N/A
OG0004388	198	0	2	2	0.78	0.78	2.14	2.14	9	9	7	7	#N/A	#N/A
OG0004079	930	1	1	3	0.37	NA	2.16	NA	9	0	3.33	3.33	#N/A	#N/A
OG0005006	96	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0005122	372	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0005183	7620	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0005356	264	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0005424	186	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0006011	105	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0006956	1560	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007173	315	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0007303	189	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0007363	465	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0007369	576	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0007370	465	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0007441	996	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0007501	480	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007502	423	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007521	81	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007523	717	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007524	270	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007739	78	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007988	342	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007989	600	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0007990	882	1	1	1	1	NA	2.2	NA	9	0	9	9	Protein conserved in bacteria	S
OG0008037	1152	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0008038	399	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0008159	651	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0008160	132	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0008161	831	0	1	1	1	1	2.2	2.2	9	9	9	9	#N/A	#N/A
OG0008230	111	1	1	1	1	NA	2.2	NA	9	0	9	9	#N/A	#N/A
OG0003804	648	1	3	3	0.5	NA	2.21	NA	10	0	5	5	This enzyme is an effector of chloramphenicol resistance in bacteria	V
OG0003243	2082	0	6	6	0.74	0.74	2.25	2.25	11	11	8.17	8.17	Phage tail protein	S
OG0005007	471	1	1	1	1	NA	2.3	NA	10	0	10	10	EcoEI R protein C-terminal	L
OG0005029	63	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005034	246	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0005103	264	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005140	636	1	1	1	1	NA	2.3	NA	10	0	10	10	-	-
OG0005209	687	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005848	183	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005849	600	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005850	402	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005851	1458	1	1	1	1	NA	2.3	NA	10	0	10	10	DNA primase small subunit	L
OG0005852	231	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005853	231	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005993	930	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0005995	441	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0005996	162	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0006852	1134	1	1	1	1	NA	2.3	NA	10	0	10	10	T5orf172	P
OG0007114	726	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0007129	351	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0007174	4857	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007236	5247	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0007433	26898	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0007499	102	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007500	351	1	1	1	1	NA	2.3	NA	10	0	10	10	Fic/DOC family	D
OG0007520	861	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007525	207	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007530	144	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007536	186	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007544	225	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007651	102	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007713	192	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0007724	252	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0007730	255	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007740	132	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007771	258	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007800	231	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0007987	201	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0008093	189	1	1	1	1	NA	2.3	NA	10	0	10	10	#N/A	#N/A
OG0008156	498	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0008162	228	0	1	1	1	1	2.3	2.3	10	10	10	10	#N/A	#N/A
OG0004722	865.5	1	1	2	0.95	NA	2.38	NA	11	0	10.5	10.5	#N/A	#N/A
OG0004014	183	1	1	3	0.97	NA	2.39	NA	11	0	10.67	10.67	#N/A	#N/A
OG0004891	489	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0004915	189	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0005188	138	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0005216	525	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0005269	93	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0005432	243	1	1	1	1	NA	2.4	NA	11	0	11	11	reductase	IQ
OG0005821	105	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0005937	111	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0006809	477	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0006810	969	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0006880	387	1	1	1	1	NA	2.4	NA	11	0	11	11	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation	J
OG0006881	273	1	1	1	1	NA	2.4	NA	11	0	11	11	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation	J
OG0006978	105	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0006999	156	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007068	393	1	1	1	1	NA	2.4	NA	11	0	11	11	chorismate mutase	E
OG0007304	1359	0	1	1	1	1	2.4	2.4	11	11	11	11	-	-
OG0007361	333	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007367	297	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0007371	6357	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007372	90	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007466	243	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007467	468	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007658	126	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0007738	342	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0007795	555	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0007796	258	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0007799	141	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0007930	141	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0008033	324	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0008034	264	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0008036	2031	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0008057	294	1	1	1	1	NA	2.4	NA	11	0	11	11	Zeta toxin	S
OG0008061	141	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0008070	156	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0008110	270	1	1	1	1	NA	2.4	NA	11	0	11	11	#N/A	#N/A
OG0008157	288	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0008158	456	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0008163	951	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0008212	411	0	1	1	1	1	2.4	2.4	11	11	11	11	#N/A	#N/A
OG0004729	234	1	1	2	0.54	NA	2.46	NA	12	0	6.5	6.5	#N/A	#N/A
OG0004803	669	1	2	2	0.92	NA	2.46	NA	12	0	11	11	#N/A	#N/A
OG0004147	417	0	2	2	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0004892	609	1	1	1	1	NA	2.48	NA	12	0	12	12	-	-
OG0004978	171	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0004995	537	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0005217	198	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0005337	489	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0005338	357	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0005445	156	1	1	1	1	NA	2.48	NA	12	0	12	12	#N/A	#N/A
OG0005446	666	1	1	1	1	NA	2.48	NA	12	0	12	12	DUF218 domain	S
OG0005452	171	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0005670	387	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0006105	237	0	1	1	1	1	2.48	2.48	12	12	12	12	Glycosyl hydrolases family 25	M
OG0006807	540	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0006851	1959	1	1	1	1	NA	2.48	NA	12	0	12	12	DEAD-like helicases superfamily	KL
OG0006882	96	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0006948	93	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007008	102	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007195	105	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007258	1680	0	1	1	1	1	2.48	2.48	12	12	12	12	viral genome integration into host DNA	L
OG0007259	2343	0	1	1	1	1	2.48	2.48	12	12	12	12	-	-
OG0007260	1074	0	1	1	1	1	2.48	2.48	12	12	12	12	Belongs to the 'phage' integrase family	L
OG0007314	189	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007535	315	1	1	1	1	NA	2.48	NA	12	0	12	12	-	-
OG0007693	1767	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007695	306	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007700	192	0	1	1	1	1	2.48	2.48	12	12	12	12	alpha/beta hydrolase fold	S
OG0007706	123	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
OG0007763	450	1	1	1	1	NA	2.48	NA	12	0	12	12	#N/A	#N/A
OG0007922	105	1	1	1	1	NA	2.48	NA	12	0	12	12	#N/A	#N/A
OG0007996	366	1	1	1	1	NA	2.48	NA	12	0	12	12	reverse transcriptase	L
OG0007997	240	1	1	1	1	NA	2.48	NA	12	0	12	12	reverse transcriptase	L
OG0008027	429	0	1	1	1	1	2.48	2.48	12	12	12	12	Transcriptional regulator	K
OG0008117	312	1	1	1	1	NA	2.48	NA	12	0	12	12	#N/A	#N/A
OG0008164	294	0	1	1	1	1	2.48	2.48	12	12	12	12	#N/A	#N/A
