OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts
OG0000091	1173.0	0.04	16	154	0.02	0.02	6.83	6.83	1286	1284	19.98	19.98
OG0000092	1149.0	0.03	77	153	0.04	0.04	5.21	5.21	460	452	19.39	19.39
OG0000093	414.0	0.09	77	152	0.04	0.04	5.06	4.98	476	440	18.53	18.53
OG0000094	1344.0	0.03	77	151	0.04	0.05	5.1	5.09	443	432	19.52	19.52
OG0000095	717.0	0.02	77	152	0.04	0.04	4.94	4.92	503	484	18.82	18.82
OG0000096	1035.0	0.03	73	151	0.04	0.04	5.56	5.54	497	496	19.23	19.23
OG0000097	360.0	0.03	77	151	0.24	0.25	3.41	3.41	91	89	22.15	22.15
OG0000098	348.0	0.03	77	151	0.12	0.12	4.17	4.17	180	178	21.15	21.15
OG0000099	616.5	0.02	77	150	0.05	0.05	5.0	4.97	413	405	20.13	20.13
OG0000100	1524.0	0.03	76	149	0.03	0.03	5.49	5.47	651	619	19.48	19.48
OG0000101	1596.0	0.05	72	148	0.04	0.05	4.9	4.83	393	364	16.56	16.56
OG0000102	669.0	0.05	77	148	0.03	0.03	5.17	5.12	540	514	17.79	17.79
OG0000103	210.0	0.03	66	148	0.03	0.03	5.64	5.62	662	659	21.79	21.79
OG0000104	837.0	0.03	77	148	0.04	0.04	5.05	5.05	443	440	18.41	18.41
OG0000105	474.0	0.07	77	146	0.06	0.06	4.92	4.91	323	314	19.95	19.95
OG0000106	1134.0	0.06	77	146	0.03	0.03	5.42	5.41	603	579	19.6	19.6
OG0000107	1458.0	0.02	71	146	0.04	0.04	5.08	5.09	508	507	18.91	18.91
OG0000108	336.0	0.05	71	146	0.03	0.03	5.94	5.9	721	679	19.22	19.22
OG0000109	1362.0	0.05	62	145	0.03	0.03	5.87	5.88	685	681	18.78	18.78
OG0000110	867.0	0.07	77	145	0.05	0.05	4.72	4.68	400	378	20.26	20.26
OG0000111	2289.0	0.11	77	144	0.03	0.03	5.57	5.48	606	555	19.19	19.19
OG0000112	919.5	0.05	77	144	0.04	0.04	5.29	5.28	466	454	18.75	18.75
OG0000113	507.0	0.06	72	142	0.03	0.03	5.73	5.68	735	693	18.69	18.69
OG0000114	927.0	0.1	59	142	0.04	0.04	5.3	5.26	417	406	18.19	18.19
OG0000115	639.0	0.05	73	142	0.03	0.03	5.64	5.62	625	610	19.15	19.15
OG0000116	1125.0	0.07	77	141	0.04	0.04	5.12	5.09	496	457	18.71	18.71
OG0000117	984.0	0.06	77	139	0.04	0.04	4.97	5.01	429	427	18.11	18.11
OG0000118	1275.0	0.03	74	140	0.04	0.04	5.21	5.2	417	413	16.79	16.79
OG0000119	1641.0	0.16	76	140	0.06	0.06	4.32	4.3	270	253	15.07	15.07
OG0000120	552.0	0.04	77	138	0.04	0.04	5.12	5.15	543	543	19.7	19.7
OG0000121	1413.0	0.05	72	137	0.03	0.03	5.58	5.57	541	536	18.5	18.5
OG0000122	1503.0	0.06	77	137	0.04	0.04	5.36	5.36	561	551	19.8	19.8
OG0000123	423.0	0.07	71	136	0.03	0.04	5.63	5.6	564	536	18.91	18.91
OG0000124	924.0	0.03	77	135	0.06	0.06	4.81	4.79	344	343	20.43	20.43
OG0000125	1509.0	0.05	77	135	0.22	0.22	3.33	3.33	77	76	16.95	16.95
OG0000126	771.0	0.04	20	134	0.04	0.04	5.22	5.13	401	362	14.62	14.62
OG0000127	1890.0	0.05	77	134	0.05	0.05	5.12	5.09	394	386	19.39	19.39
OG0000128	684.0	0.07	75	134	0.03	0.03	6.05	6.03	722	709	18.81	18.81
OG0000129	816.0	0.03	77	134	0.06	0.06	4.78	4.78	383	380	22.57	22.57
OG0000130	393.0	0.07	73	134	0.05	0.05	5.05	5.05	353	348	18.61	18.61
OG0000131	216.0	0.03	69	132	0.05	0.05	5.3	5.29	453	447	21.8	21.8
OG0000132	1011.0	0.06	74	132	0.04	0.04	5.24	5.2	471	452	19.14	19.14
OG0000133	150.0	0.03	72	131	0.14	0.14	4.18	4.18	157	157	22.5	22.5
OG0000134	658.5	0.01	76	130	0.12	0.12	4.29	4.3	156	156	18.82	18.82
OG0000135	1396.5	0.05	49	130	0.04	0.04	5.19	5.19	531	525	18.67	18.67
OG0000136	1095.0	0.03	76	130	0.05	0.05	4.73	4.76	420	420	19.81	19.81
OG0000137	1290.0	0.05	75	129	0.03	0.03	6.11	6.1	776	756	20.24	20.24
OG0000138	996.0	0.03	77	129	0.05	0.05	5.17	5.16	420	414	18.95	18.95
OG0000139	1407.0	0.05	77	129	0.07	0.08	4.62	4.6	252	238	18.86	18.86
OG0000140	459.0	0.03	76	128	0.04	0.04	4.91	4.9	445	438	18.16	18.16
OG0000141	1308.0	0.05	53	128	0.03	0.03	5.91	5.87	657	622	18.26	18.26
OG0000142	882.0	0.06	76	127	0.08	0.08	4.61	4.6	228	227	17.84	17.84
OG0000143	447.0	0.03	70	127	0.07	0.07	4.8	4.77	310	310	21.55	21.55
OG0000144	411.0	0.11	75	127	0.03	0.04	5.45	5.3	649	564	20.44	20.44
OG0000145	1426.5	0.05	62	126	0.03	0.03	5.73	5.73	563	558	18.8	18.8
OG0000146	837.0	0.06	77	125	0.08	0.08	4.53	4.52	270	266	21.48	21.48
OG0000147	825.0	0.03	76	124	0.09	0.09	4.63	4.64	211	211	19.32	19.32
OG0000148	972.0	0.05	59	124	0.11	0.11	4.05	4.05	183	182	19.41	19.41
OG0000149	1278.0	0.04	75	124	0.04	0.04	5.1	5.06	476	463	18.19	18.19
OG0000150	687.0	0.04	67	124	0.05	0.05	5.22	5.2	411	405	21.98	21.98
OG0000151	871.5	0.06	66	124	0.04	0.04	5.16	5.16	499	490	19.9	19.9
OG0000152	816.0	0.02	76	123	0.07	0.07	4.57	4.57	261	261	18.44	18.44
OG0000153	955.5	0.07	71	122	0.05	0.05	5.02	5.0	447	437	21.3	21.3
OG0000154	912.0	0.04	70	122	0.07	0.08	4.65	4.59	291	256	20.16	20.16
OG0000155	537.0	0.04	77	122	0.05	0.05	5.07	5.03	438	423	20.43	20.43
OG0000156	864.0	0.07	60	122	0.03	0.03	5.91	5.89	616	603	18.68	18.68
OG0000157	951.0	0.04	67	121	0.05	0.05	5.28	5.27	426	419	19.42	19.42
OG0000158	561.0	0.06	77	121	0.07	0.07	4.59	4.59	296	293	21.21	21.21
OG0000159	1164.0	0.08	60	119	0.03	0.03	5.91	5.86	698	649	20.08	20.08
OG0000160	1029.0	0.08	68	120	0.08	0.08	4.44	4.43	254	234	19.73	19.73
OG0000161	828.0	0.03	73	120	0.05	0.05	4.72	4.75	417	416	19.36	19.36
OG0000162	1410.0	0.03	77	120	0.06	0.06	4.38	4.38	307	306	18.99	18.99
OG0000163	1359.0	0.03	75	119	0.04	0.04	5.29	5.26	452	436	18.48	18.48
OG0000164	624.0	0.1	77	119	0.05	0.05	5.0	4.93	500	465	23.53	23.53
OG0000165	1116.0	0.03	77	119	0.29	0.29	3.39	3.39	73	73	20.98	20.98
OG0000166	1278.0	0.08	76	118	0.06	0.06	4.82	4.81	298	290	18.58	18.58
OG0000167	237.0	0.06	77	118	0.09	0.09	4.37	4.37	226	225	19.27	19.27
OG0000168	678.0	0.02	77	117	0.08	0.08	4.67	4.66	259	259	19.43	19.43
OG0000169	948.0	0.11	77	116	0.05	0.05	5.09	4.99	421	368	19.91	19.91
OG0000170	1074.0	0.11	25	116	0.01	0.01	6.88	6.87	1199	1169	17.24	17.24
OG0000171	891.0	0.02	77	116	0.07	0.07	4.67	4.65	262	262	19.07	19.07
OG0000172	687.0	0.08	71	115	0.03	0.03	5.34	5.33	601	587	19.45	19.45
OG0000173	939.0	0.03	72	115	0.07	0.07	4.52	4.52	281	279	18.81	18.81
OG0000174	1362.0	0.07	77	115	0.07	0.07	4.33	4.37	299	298	20.43	20.43
OG0000175	567.0	0.06	76	115	0.05	0.05	4.99	4.99	376	363	18.91	18.91
OG0000176	1191.0	0.1	43	114	0.02	0.02	6.59	6.56	932	895	18.32	18.32
OG0000177	696.0	0.05	76	114	0.04	0.04	4.92	4.92	462	452	20.09	20.09
OG0000178	507.0	0.04	72	113	0.12	0.12	4.3	4.31	158	156	18.88	18.88
OG0000179	633.0	0.14	75	113	0.04	0.05	5.05	4.96	457	408	20.27	20.27
OG0000180	1068.0	0.04	57	112	0.03	0.03	5.74	5.72	542	530	17.07	17.07
OG0000181	1002.0	0.06	74	111	0.03	0.03	5.82	5.8	581	560	17.99	17.99
OG0000182	1383.0	0.18	77	109	0.06	0.06	4.09	4.21	201	200	12.26	12.26
OG0000183	2043.0	0.05	62	110	0.1	0.1	4.48	4.48	211	208	20.75	20.75
OG0000184	1536.0	0.06	71	110	0.04	0.04	5.47	5.44	431	421	18.85	18.85
OG0000185	804.0	0.05	77	110	0.07	0.07	4.43	4.37	269	251	18.03	18.03
OG0000186	942.0	0.06	66	109	0.08	0.08	4.69	4.67	253	239	20.16	20.16
OG0000187	1188.0	0.02	76	109	0.04	0.04	5.08	5.08	472	471	18.04	18.04
OG0000188	1296.0	0.14	20	109	0.01	0.01	6.87	6.86	1169	1138	16.54	16.54
OG0000189	1032.0	0.06	75	108	0.05	0.05	4.61	4.58	400	385	18.11	18.11
OG0000190	480.0	0.06	77	108	0.08	0.08	4.57	4.58	233	232	19.6	19.6
OG0000191	675.0	0.05	77	107	0.08	0.08	4.3	4.29	232	226	18	18
OG0000192	951.0	0.05	77	107	0.07	0.07	4.53	4.51	301	292	19.73	19.73
OG0000193	678.0	0.05	77	107	0.07	0.07	4.46	4.42	312	304	22.4	22.4
OG0000194	1224.0	0.04	77	107	0.07	0.07	4.42	4.41	268	260	19.31	19.31
OG0000195	420.0	0.04	77	106	0.08	0.09	4.1	4.07	199	182	16.37	16.37
OG0000196	330.0	0.64	38	105	0.03	0.04	5.66	5.44	486	337	12.31	12.31
OG0000197	2787.0	0.13	55	106	0.03	0.03	5.77	5.74	643	602	17.13	17.13
OG0000198	1023.0	0.04	77	105	0.07	0.07	4.37	4.37	253	249	18.56	18.56
OG0000199	1818.0	0.09	74	105	0.06	0.06	4.45	4.42	248	246	15.81	15.81
OG0000200	657.0	0.06	74	105	0.06	0.06	4.76	4.77	342	341	18.82	18.82
OG0000201	1323.0	0.06	77	105	0.06	0.07	4.19	4.14	227	207	14.34	14.34
OG0000202	1194.0	0.03	56	104	0.03	0.04	5.64	5.64	504	501	17.62	17.62
OG0000203	558.0	0.05	77	104	0.07	0.07	4.62	4.63	321	318	20.9	20.9
OG0000204	186.0	0.05	77	104	0.05	0.05	4.97	4.97	413	407	19.45	19.45
OG0000205	2610.0	0.08	77	103	0.07	0.07	4.3	4.28	246	239	17.75	17.75
OG0000206	279.0	0.12	77	103	0.06	0.06	5.0	4.93	323	308	18.54	18.54
OG0000207	798.0	0.02	60	103	0.09	0.09	4.51	4.51	207	206	18.14	18.14
OG0000208	402.0	0.02	63	103	0.05	0.05	5.21	5.2	407	399	19.24	19.24
OG0000209	999.0	0.03	71	103	0.07	0.07	5.02	5.02	283	283	18.86	18.86
OG0000210	1404.0	0.04	45	102	0.04	0.04	5.51	5.5	505	498	17.72	17.72
OG0000211	429.0	0.08	68	102	0.04	0.04	5.8	5.79	556	544	19.59	19.59
OG0000212	564.0	0.09	76	102	0.06	0.06	4.86	4.84	382	364	21.2	21.2
OG0000213	1162.5	0.02	46	102	0.1	0.1	4.56	4.57	162	161	16.89	16.89
OG0000214	663.0	0.02	77	101	0.06	0.06	4.47	4.47	350	350	20.78	20.78
OG0000215	942.0	0.04	77	101	0.05	0.05	4.47	4.48	326	324	17.1	17.1
OG0000216	804.0	0.01	52	101	0.05	0.05	5.21	5.21	379	378	19.2	19.2
OG0000217	189.0	0.14	69	100	0.02	0.03	6.23	6.16	787	704	19.5	19.5
OG0000218	207.0	0.12	77	100	0.05	0.06	4.87	4.76	324	298	17.41	17.41
OG0000219	1542.0	0.05	77	100	0.08	0.09	4.24	4.18	215	197	17.59	17.59
OG0000220	765.0	0.05	77	100	0.07	0.07	4.63	4.63	311	302	20.68	20.68
OG0000221	612.0	0.11	65	100	0.05	0.05	5.32	5.21	421	381	19.05	19.05
OG0000222	1338.0	0.07	69	99	0.06	0.07	4.63	4.55	307	277	18.94	18.94
OG0000223	867.0	0.02	77	99	0.04	0.04	5.42	5.41	415	412	17.28	17.28
OG0000224	1053.0	0.02	73	99	0.06	0.06	4.98	4.97	320	319	19.59	19.59
OG0000225	732.0	0.03	77	99	0.06	0.06	5.01	5.01	350	348	20.73	20.73
OG0000226	654.0	0.12	56	99	0.03	0.03	6.24	6.27	773	764	20	20
OG0000227	999.0	0.08	45	99	0.04	0.04	5.59	5.55	549	534	19.74	19.74
OG0000228	1167.0	0.02	76	98	0.1	0.1	4.14	4.14	187	185	19.28	19.28
OG0000229	861.0	0.05	74	98	0.08	0.08	4.18	4.19	247	246	19.13	19.13
OG0000230	1401.0	0.03	58	97	0.06	0.06	4.88	4.88	332	329	20.8	20.8
OG0000231	624.0	0.05	58	97	0.05	0.05	5.38	5.34	464	450	21.52	21.52
OG0000232	1909.5	0.05	43	96	0.05	0.05	5.19	5.19	426	415	21.29	21.29
OG0000233	1245.0	0.03	77	96	0.09	0.09	4.06	4.06	184	182	17.28	17.28
OG0000234	459.0	0.06	28	95	0.02	0.02	6.88	6.85	1160	1122	19.19	19.19
OG0000235	663.0	0.12	77	95	0.09	0.1	4.32	4.28	213	199	18.98	18.98
OG0000236	612.0	0.04	65	95	0.08	0.08	4.62	4.61	211	208	17.67	17.67
OG0000237	2136.0	0.08	77	95	0.15	0.16	3.9	3.82	179	167	26.98	26.98
OG0000238	687.0	0.06	77	95	0.12	0.12	4.08	4.06	185	182	22.08	22.08
OG0000239	1485.0	0.07	77	95	0.08	0.08	4.05	4.06	244	240	19.21	19.21
OG0000240	1938.0	0.02	77	95	0.08	0.09	3.86	3.77	221	198	18.39	18.39
OG0000241	255.0	0.01	77	95	0.05	0.05	4.95	4.96	404	404	21.05	21.05
OG0000242	567.0	0.06	77	95	0.08	0.09	4.32	4.19	297	256	22.68	22.68
OG0000243	549.0	0.09	74	95	0.06	0.06	4.7	4.65	349	328	21	21
OG0000244	852.0	0.07	72	94	0.06	0.06	4.28	4.26	244	238	14.85	14.85
OG0000245	1498.5	0.03	42	94	0.08	0.08	4.6	4.58	250	241	18.94	18.94
OG0000246	1230.0	0.03	76	93	0.1	0.11	3.72	3.7	159	158	16.65	16.65
OG0000247	474.0	0.04	77	93	0.06	0.06	4.44	4.44	303	299	19.04	19.04
OG0000248	339.0	0.02	76	93	0.07	0.08	4.31	4.31	299	295	22.39	22.39
OG0000249	1068.0	0.04	74	93	0.07	0.07	4.27	4.26	256	250	18.33	18.33
OG0000250	705.0	0.01	76	92	0.05	0.05	5.2	5.18	346	338	16.42	16.42
OG0000251	1428.0	0.08	77	92	0.12	0.12	3.78	3.72	171	164	20.2	20.2
OG0000252	861.0	0.04	77	92	0.08	0.09	4.24	4.17	283	251	22.5	22.5
OG0000253	748.5	0.14	45	92	0.04	0.05	5.73	5.75	701	688	31.18	31.18
OG0000254	864.0	0.05	65	92	0.07	0.07	4.64	4.61	306	303	20.83	20.83
OG0000255	603.0	0.18	77	91	0.07	0.08	4.64	4.49	286	234	19.34	19.34
OG0000256	957.0	0.01	75	91	0.06	0.06	5.13	5.13	301	301	18.97	18.97
OG0000257	1188.0	0.11	77	91	0.08	0.08	4.55	4.54	242	241	19.02	19.02
OG0000258	1794.0	0.04	53	91	0.05	0.05	5.22	5.19	382	366	19.02	19.02
OG0000259	1233.0	0.07	59	91	0.04	0.04	5.39	5.37	453	435	18.33	18.33
OG0000260	963.0	0.04	73	91	0.06	0.06	4.61	4.6	333	328	18.89	18.89
OG0000261	1146.0	0.03	77	91	0.06	0.06	5.04	5.04	298	297	18.4	18.4
OG0000262	345.0	0.02	77	91	0.12	0.12	4.43	4.42	162	155	18.71	18.71
OG0000263	957.0	0.07	77	91	0.09	0.09	4.08	4.06	221	213	18.81	18.81
OG0000264	795.0	0.0	77	91	0.15	0.15	3.92	3.92	126	126	18.67	18.67
OG0000265	999.0	0.03	77	91	0.11	0.12	4.05	4.02	177	176	20.25	20.25
OG0000266	315.0	0.04	68	91	0.09	0.09	4.37	4.4	224	224	19.49	19.49
OG0000267	327.0	0.05	68	91	0.09	0.09	4.38	4.41	222	221	19.35	19.35
OG0000268	1191.0	0.03	57	91	0.06	0.06	4.67	4.62	322	306	19.6	19.6
OG0000269	423.0	0.06	64	90	0.08	0.11	4.37	4.22	223	167	18.63	18.63
OG0000270	1551.0	0.19	57	90	0.03	0.04	5.14	5.12	414	369	13.7	13.7
OG0000271	885.0	0.06	77	90	0.05	0.05	5.36	5.34	402	395	19.32	19.32
OG0000272	558.0	0.03	77	90	0.08	0.08	4.72	4.71	217	213	17.44	17.44
OG0000273	381.0	0.06	53	90	0.04	0.05	5.67	5.68	491	487	22.03	22.03
OG0000274	741.0	0.02	76	90	0.09	0.09	4.42	4.42	203	203	18.72	18.72
OG0000275	607.5	0.01	76	90	0.08	0.08	4.66	4.67	233	233	17.61	17.61
OG0000276	519.0	0.06	77	90	0.11	0.14	3.82	3.71	194	160	22.29	22.29
OG0000277	909.0	0.06	65	90	0.11	0.11	4.29	4.3	171	169	18.56	18.56
OG0000278	796.5	0.03	65	90	0.07	0.07	4.86	4.85	271	270	20	20
OG0000279	369.0	0.06	50	89	0.07	0.07	5.46	5.46	560	554	38.03	38.03
OG0000280	1134.0	0.02	77	89	0.17	0.17	3.77	3.77	139	138	23.55	23.55
OG0000281	2181.0	0.02	77	89	0.35	0.36	3.45	3.44	68	66	23.79	23.79
OG0000282	1146.0	0.03	77	89	0.07	0.07	4.55	4.52	265	261	19.09	19.09
OG0000283	1164.0	0.08	77	89	0.08	0.08	4.08	4.09	217	217	18	18
OG0000284	885.0	0.03	77	89	0.05	0.05	5.05	5.06	431	429	20	20
OG0000285	378.0	0.07	70	88	0.08	0.09	4.19	4.19	223	212	18.3	18.3
OG0000286	750.0	0.05	50	88	0.06	0.06	5.57	5.57	646	642	38.19	38.19
OG0000287	1161.0	0.02	74	88	0.11	0.11	3.9	3.9	176	175	18.53	18.53
OG0000288	627.0	0.05	19	88	0.05	0.05	5.05	5.01	340	320	15.57	15.57
OG0000289	705.0	0.01	77	88	0.08	0.08	3.75	3.72	219	208	16.7	16.7
OG0000290	531.0	0.22	76	88	0.06	0.06	3.86	3.94	194	186	11.14	11.14
OG0000291	1209.0	0.14	51	88	0.03	0.03	5.85	5.84	652	616	16.7	16.7
OG0000292	1557.0	0.12	52	88	0.02	0.03	5.9	5.9	656	622	16.16	16.16
OG0000293	768.0	0.05	35	87	0.03	0.03	6.27	6.29	1021	1014	27.92	27.92
